epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,zero_stage
1,6.326,1.9128,43.59,102.47,2,128,1
2,4.379,1.539,50.01,102.47,2,128,1
3,4.3253,1.3068,58.01,102.47,2,128,1
4,4.309,1.1478,61.3,102.47,2,128,1
5,4.3296,1.0204,62.48,102.47,2,128,1
6,4.2857,0.9459,69.53,102.47,2,128,1
7,4.3528,0.8902,68.47,102.47,2,128,1
8,4.3394,0.8354,69.0,102.47,2,128,1
9,4.3099,0.7854,69.36,102.47,2,128,1
10,4.3039,0.7645,71.66,102.47,2,128,1
