epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,zero_stage
1,12.6229,2.065,41.21,910.46,2,128,3
2,12.3592,1.5598,49.69,910.46,2,128,3
3,12.2599,1.346,57.56,910.46,2,128,3
4,11.7533,1.1866,58.55,910.46,2,128,3
5,11.7412,1.0623,63.26,910.46,2,128,3
6,11.7853,0.9756,69.03,910.46,2,128,3
7,11.6627,0.8997,67.2,910.46,2,128,3
8,11.706,0.8418,69.21,910.46,2,128,3
9,11.7015,0.8067,70.34,910.46,2,128,3
10,11.7063,0.7649,73.53,910.46,2,128,3
