epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,zero_stage
1,4.9162,1.9445,46.29,102.47,2,128,2
2,4.3334,1.43,52.24,102.47,2,128,2
3,4.3452,1.2455,58.59,102.47,2,128,2
4,4.382,1.104,61.72,102.47,2,128,2
5,4.3406,0.9852,64.82,102.47,2,128,2
6,4.398,0.9147,67.0,102.47,2,128,2
7,4.3266,0.8526,72.59,102.47,2,128,2
8,4.3234,0.795,71.74,102.47,2,128,2
9,4.3808,0.7605,70.83,102.47,2,128,2
10,4.5522,0.7385,74.7,102.47,2,128,2
