epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,zero_stage
1,4.6884,1.9643,44.09,102.47,2,128,2
2,4.3409,1.5139,52.25,102.47,2,128,2
3,4.2728,1.2827,58.12,102.47,2,128,2
4,4.3346,1.1155,60.43,102.47,2,128,2
5,4.2751,1.0049,64.25,102.47,2,128,2
6,4.2633,0.9313,68.8,102.47,2,128,2
7,4.3575,0.8608,68.51,102.47,2,128,2
8,4.3061,0.8125,70.47,102.47,2,128,2
9,4.3195,0.7717,71.47,102.47,2,128,2
10,4.2929,0.7414,75.15,102.47,2,128,2
