epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,zero_stage
1,12.3096,2.0278,40.47,910.46,2,128,3
2,11.8679,1.5991,46.65,910.46,2,128,3
3,11.8369,1.3204,58.36,910.46,2,128,3
4,11.8564,1.15,62.74,910.46,2,128,3
5,11.8289,1.0227,65.83,910.46,2,128,3
6,11.784,0.9297,66.69,910.46,2,128,3
7,11.8818,0.8721,70.41,910.46,2,128,3
8,11.7513,0.8189,70.57,910.46,2,128,3
9,11.7965,0.7757,70.63,910.46,2,128,3
10,11.8627,0.7513,72.09,910.46,2,128,3
