epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,zero_stage
1,6.3092,1.9971,40.75,102.47,2,128,1
2,4.4427,1.5116,52.58,102.47,2,128,1
3,4.5249,1.2788,59.42,102.47,2,128,1
4,4.6055,1.1152,60.43,102.47,2,128,1
5,4.5493,0.9938,63.94,102.47,2,128,1
6,4.5768,0.9249,67.06,102.47,2,128,1
7,4.5366,0.8683,70.81,102.47,2,128,1
8,4.6793,0.8148,69.97,102.47,2,128,1
9,4.3347,0.7645,71.4,102.47,2,128,1
10,4.5208,0.7465,74.01,102.47,2,128,1
