epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,zero_stage
1,4.7015,1.9692,38.51,102.47,2,128,1
2,4.3226,1.5112,51.82,102.47,2,128,1
3,4.3226,1.2968,58.93,102.47,2,128,1
4,4.3546,1.1166,61.56,102.47,2,128,1
5,4.3151,1.0006,62.17,102.47,2,128,1
6,4.3055,0.922,70.04,102.47,2,128,1
7,4.3168,0.8622,70.39,102.47,2,128,1
8,4.3179,0.814,71.72,102.47,2,128,1
9,4.352,0.7687,70.05,102.47,2,128,1
10,4.4631,0.7364,72.74,102.47,2,128,1
