epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,zero_stage
1,4.6997,2.0317,39.81,102.47,2,128,2
2,4.3103,1.4822,54.17,102.47,2,128,2
3,4.3604,1.2419,58.47,102.47,2,128,2
4,4.3077,1.0998,61.95,102.47,2,128,2
5,4.3537,0.9878,62.12,102.47,2,128,2
6,4.3152,0.9226,69.44,102.47,2,128,2
7,4.2636,0.8566,68.84,102.47,2,128,2
8,4.3353,0.8074,70.69,102.47,2,128,2
9,4.3563,0.7774,70.79,102.47,2,128,2
10,4.3138,0.7502,73.92,102.47,2,128,2
