epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,framework
1,4.0824,2.3942,34.39,145.46,2,128,AxoNN
2,2.3814,1.7383,39.33,145.46,2,128,AxoNN
3,2.3895,1.5628,47.27,145.46,2,128,AxoNN
4,2.3796,1.4504,49.8,145.46,2,128,AxoNN
5,2.3746,1.3586,53.82,145.46,2,128,AxoNN
6,2.3763,1.2508,51.5,145.46,2,128,AxoNN
7,2.3749,1.1655,60.35,145.46,2,128,AxoNN
8,2.385,1.0686,63.62,145.46,2,128,AxoNN
9,2.3883,0.9908,65.6,145.46,2,128,AxoNN
10,2.369,0.9377,67.11,145.46,2,128,AxoNN
