epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,framework
1,5.2741,2.1835,42.01,145.71,1,128,AxoNN
2,3.6429,1.5247,49.97,145.71,1,128,AxoNN
3,3.6008,1.3163,55.27,145.71,1,128,AxoNN
4,3.6449,1.1407,63.74,145.71,1,128,AxoNN
5,3.6083,1.0138,64.54,145.71,1,128,AxoNN
6,3.662,0.9081,70.15,145.71,1,128,AxoNN
7,3.624,0.818,70.9,145.71,1,128,AxoNN
8,3.6169,0.7326,75.15,145.71,1,128,AxoNN
9,3.6637,0.6532,77.63,145.71,1,128,AxoNN
10,3.6117,0.5976,78.52,145.71,1,128,AxoNN
