epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,framework
1,5.1143,2.1647,40.66,145.71,1,128,AxoNN
2,3.6558,1.5099,51.02,145.71,1,128,AxoNN
3,3.6002,1.3213,57.51,145.71,1,128,AxoNN
4,3.6095,1.1394,63.38,145.71,1,128,AxoNN
5,3.6281,1.0031,63.19,145.71,1,128,AxoNN
6,3.61,0.9096,69.7,145.71,1,128,AxoNN
7,3.595,0.8148,71.46,145.71,1,128,AxoNN
8,3.6223,0.731,75.28,145.71,1,128,AxoNN
9,3.6134,0.6551,77.25,145.71,1,128,AxoNN
10,3.6022,0.6017,78.13,145.71,1,128,AxoNN
