epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,framework
1,4.309,2.3294,35.5,145.46,2,128,AxoNN
2,2.3795,1.7236,41.51,145.46,2,128,AxoNN
3,2.375,1.5467,48.38,145.46,2,128,AxoNN
4,2.3707,1.422,50.04,145.46,2,128,AxoNN
5,2.3766,1.3045,53.5,145.46,2,128,AxoNN
6,2.3737,1.1993,58.18,145.46,2,128,AxoNN
7,2.3742,1.0995,62.49,145.46,2,128,AxoNN
8,2.3626,1.0119,65.83,145.46,2,128,AxoNN
9,2.3821,0.9283,68.61,145.46,2,128,AxoNN
10,2.379,0.8787,69.54,145.46,2,128,AxoNN
