timestamp, name, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/04/28 14:34:16.909, NVIDIA A40, 57.32 W, 35, 0 %, 0 MiB
2026/04/28 14:34:16.910, NVIDIA A40, 39.03 W, 30, 0 %, 0 MiB
2026/04/28 14:34:21.910, NVIDIA A40, 29.16 W, 34, 0 %, 0 MiB
2026/04/28 14:34:21.910, NVIDIA A40, 21.83 W, 29, 0 %, 0 MiB
2026/04/28 14:34:26.911, NVIDIA A40, 29.01 W, 33, 0 %, 0 MiB
2026/04/28 14:34:26.911, NVIDIA A40, 21.81 W, 29, 0 %, 0 MiB
2026/04/28 14:34:31.911, NVIDIA A40, 74.81 W, 36, 0 %, 693 MiB
2026/04/28 14:34:31.911, NVIDIA A40, 72.16 W, 32, 0 %, 693 MiB
2026/04/28 14:34:36.912, NVIDIA A40, 119.60 W, 39, 61 %, 757 MiB
2026/04/28 14:34:36.912, NVIDIA A40, 111.71 W, 35, 57 %, 757 MiB
2026/04/28 14:34:41.913, NVIDIA A40, 129.80 W, 40, 52 %, 757 MiB
2026/04/28 14:34:41.913, NVIDIA A40, 122.87 W, 36, 70 %, 757 MiB
2026/04/28 14:34:46.914, NVIDIA A40, 110.95 W, 40, 21 %, 757 MiB
2026/04/28 14:34:46.914, NVIDIA A40, 106.67 W, 37, 25 %, 757 MiB
2026/04/28 14:34:51.914, NVIDIA A40, 123.18 W, 42, 50 %, 757 MiB
2026/04/28 14:34:51.914, NVIDIA A40, 115.67 W, 38, 65 %, 757 MiB
2026/04/28 14:34:56.915, NVIDIA A40, 127.73 W, 43, 57 %, 757 MiB
2026/04/28 14:34:56.915, NVIDIA A40, 119.75 W, 39, 74 %, 757 MiB
2026/04/28 14:35:01.915, NVIDIA A40, 109.68 W, 42, 19 %, 757 MiB
2026/04/28 14:35:01.915, NVIDIA A40, 106.14 W, 39, 23 %, 757 MiB
2026/04/28 14:35:06.916, NVIDIA A40, 124.52 W, 44, 58 %, 757 MiB
2026/04/28 14:35:06.916, NVIDIA A40, 122.07 W, 40, 71 %, 757 MiB
