timestamp, name, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/04/28 14:34:16.688, NVIDIA A40, 45.22 W, 30, 0 %, 0 MiB
2026/04/28 14:34:21.689, NVIDIA A40, 30.13 W, 29, 0 %, 0 MiB
2026/04/28 14:34:26.689, NVIDIA A40, 30.14 W, 29, 0 %, 0 MiB
2026/04/28 14:34:31.689, NVIDIA A40, 76.42 W, 32, 0 %, 819 MiB
2026/04/28 14:34:36.690, NVIDIA A40, 130.42 W, 35, 16 %, 937 MiB
2026/04/28 14:34:41.690, NVIDIA A40, 128.29 W, 36, 27 %, 937 MiB
2026/04/28 14:34:46.690, NVIDIA A40, 116.43 W, 38, 7 %, 937 MiB
2026/04/28 14:34:51.691, NVIDIA A40, 117.16 W, 39, 52 %, 937 MiB
2026/04/28 14:34:56.691, NVIDIA A40, 128.94 W, 40, 53 %, 937 MiB
2026/04/28 14:35:01.692, NVIDIA A40, 138.09 W, 41, 53 %, 937 MiB
2026/04/28 14:35:06.692, NVIDIA A40, 144.13 W, 41, 53 %, 937 MiB
2026/04/28 14:35:11.693, NVIDIA A40, 145.78 W, 42, 52 %, 937 MiB
2026/04/28 14:35:16.693, NVIDIA A40, 145.54 W, 43, 53 %, 937 MiB
