timestamp, name, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/04/28 14:34:17.196, NVIDIA A40, 38.97 W, 27, 0 %, 0 MiB
2026/04/28 14:34:17.197, NVIDIA A40, 39.48 W, 30, 0 %, 0 MiB
2026/04/28 14:34:22.198, NVIDIA A40, 21.57 W, 26, 0 %, 0 MiB
2026/04/28 14:34:22.198, NVIDIA A40, 21.82 W, 29, 0 %, 0 MiB
2026/04/28 14:34:27.198, NVIDIA A40, 21.53 W, 26, 0 %, 0 MiB
2026/04/28 14:34:27.198, NVIDIA A40, 21.77 W, 29, 0 %, 0 MiB
2026/04/28 14:34:32.199, NVIDIA A40, 85.69 W, 30, 13 %, 1126 MiB
2026/04/28 14:34:32.199, NVIDIA A40, 21.70 W, 29, 0 %, 3 MiB
2026/04/28 14:34:37.199, NVIDIA A40, 184.67 W, 36, 99 %, 1126 MiB
2026/04/28 14:34:37.199, NVIDIA A40, 21.74 W, 29, 0 %, 3 MiB
2026/04/28 14:34:42.200, NVIDIA A40, 186.19 W, 38, 99 %, 1126 MiB
2026/04/28 14:34:42.200, NVIDIA A40, 21.69 W, 28, 0 %, 3 MiB
2026/04/28 14:34:47.200, NVIDIA A40, 151.22 W, 39, 98 %, 1126 MiB
2026/04/28 14:34:47.200, NVIDIA A40, 21.73 W, 28, 0 %, 3 MiB
2026/04/28 14:34:52.201, NVIDIA A40, 179.34 W, 39, 99 %, 1126 MiB
2026/04/28 14:34:52.201, NVIDIA A40, 21.74 W, 28, 0 %, 3 MiB
2026/04/28 14:34:57.201, NVIDIA A40, 189.83 W, 42, 98 %, 1126 MiB
2026/04/28 14:34:57.201, NVIDIA A40, 21.69 W, 28, 0 %, 3 MiB
2026/04/28 14:35:02.202, NVIDIA A40, 95.35 W, 38, 0 %, 1122 MiB
2026/04/28 14:35:02.202, NVIDIA A40, 21.85 W, 28, 0 %, 3 MiB
