timestamp, name, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/04/28 14:34:16.450, NVIDIA A40, 61.24 W, 35, 0 %, 0 MiB
2026/04/28 14:34:21.451, NVIDIA A40, 61.23 W, 35, 0 %, 0 MiB
2026/04/28 14:34:26.451, NVIDIA A40, 61.40 W, 35, 0 %, 0 MiB
2026/04/28 14:34:31.451, NVIDIA A40, 74.24 W, 36, 63 %, 937 MiB
2026/04/28 14:34:36.452, NVIDIA A40, 89.23 W, 38, 64 %, 937 MiB
2026/04/28 14:34:41.452, NVIDIA A40, 103.40 W, 38, 63 %, 937 MiB
2026/04/28 14:34:46.453, NVIDIA A40, 107.69 W, 39, 63 %, 937 MiB
2026/04/28 14:34:51.453, NVIDIA A40, 107.79 W, 39, 64 %, 937 MiB
2026/04/28 14:34:56.454, NVIDIA A40, 108.15 W, 40, 63 %, 937 MiB
2026/04/28 14:35:01.454, NVIDIA A40, 108.03 W, 40, 63 %, 937 MiB
2026/04/28 14:35:06.455, NVIDIA A40, 108.68 W, 40, 64 %, 937 MiB
2026/04/28 14:35:11.455, NVIDIA A40, 108.21 W, 41, 63 %, 937 MiB
2026/04/28 14:35:16.455, NVIDIA A40, 108.91 W, 41, 63 %, 937 MiB
