epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,phase,precision,batch_size
1,5.6286,1.9909,44.58,146.46,FP32_training,INT8_PTQ,128
2,3.6746,1.4815,51.29,146.46,FP32_training,INT8_PTQ,128
3,3.6782,1.2684,55.79,146.46,FP32_training,INT8_PTQ,128
4,3.7107,1.1168,64.28,146.46,FP32_training,INT8_PTQ,128
5,3.6946,0.9941,66.46,146.46,FP32_training,INT8_PTQ,128
6,3.6866,0.8894,71.02,146.46,FP32_training,INT8_PTQ,128
7,3.6643,0.7925,71.63,146.46,FP32_training,INT8_PTQ,128
8,3.7217,0.7087,75.46,146.46,FP32_training,INT8_PTQ,128
9,3.6735,0.6305,77.62,146.46,FP32_training,INT8_PTQ,128
10,3.6869,0.578,79.1,146.46,FP32_training,INT8_PTQ,128
10,0.0821,0.578,79.08,0.0,INT8_quantized,INT8_PTQ,128
