epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,phase,precision,batch_size
1,5.5889,2.1555,40.7,146.46,FP32_training,INT8_PTQ,128
2,3.6768,1.5181,48.89,146.46,FP32_training,INT8_PTQ,128
3,3.7037,1.3219,56.43,146.46,FP32_training,INT8_PTQ,128
4,3.6655,1.1539,61.98,146.46,FP32_training,INT8_PTQ,128
5,3.7036,1.0257,66.91,146.46,FP32_training,INT8_PTQ,128
6,3.7042,0.922,68.36,146.46,FP32_training,INT8_PTQ,128
7,3.6684,0.8339,71.99,146.46,FP32_training,INT8_PTQ,128
8,3.6813,0.7518,74.48,146.46,FP32_training,INT8_PTQ,128
9,3.7078,0.6764,77.08,146.46,FP32_training,INT8_PTQ,128
10,3.6821,0.6242,78.04,146.46,FP32_training,INT8_PTQ,128
10,0.0801,0.6242,77.96,0.0,INT8_quantized,INT8_PTQ,128
