epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,precision
1,5.2806,2.1297,43.13,189.38,1,128,BF16
2,4.5367,1.4784,51.12,189.38,1,128,BF16
3,4.5356,1.275,58.18,189.38,1,128,BF16
4,4.5285,1.1209,62.42,189.38,1,128,BF16
5,4.534,1.0107,64.07,189.38,1,128,BF16
6,4.5274,0.9089,68.07,189.38,1,128,BF16
7,4.5556,0.8185,71.16,189.38,1,128,BF16
8,4.5422,0.7337,75.11,189.38,1,128,BF16
9,4.5459,0.6582,77.21,189.38,1,128,BF16
10,4.5498,0.6072,78.11,189.38,1,128,BF16
