epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,precision
1,5.1966,2.1081,40.99,189.38,1,128,FP16
2,4.7966,1.5236,48.57,189.38,1,128,FP16
3,4.8014,1.3279,57.98,189.38,1,128,FP16
4,4.7836,1.1681,61.61,189.38,1,128,FP16
5,4.7851,1.0373,65.13,189.38,1,128,FP16
6,4.7976,0.9388,69.81,189.38,1,128,FP16
7,4.7371,0.8405,71.51,189.38,1,128,FP16
8,4.7819,0.7515,73.5,189.38,1,128,FP16
9,4.805,0.6751,76.5,189.38,1,128,FP16
10,4.7744,0.6195,78.16,189.38,1,128,FP16
