epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,precision
1,5.4485,2.2082,39.09,189.38,1,128,BF16
2,4.5174,1.556,47.49,189.38,1,128,BF16
3,4.4847,1.3714,52.93,189.38,1,128,BF16
4,4.4957,1.2099,56.13,189.38,1,128,BF16
5,4.5101,1.0871,60.43,189.38,1,128,BF16
6,4.5097,0.9909,69.07,189.38,1,128,BF16
7,4.4827,0.8738,70.81,189.38,1,128,BF16
8,4.487,0.7893,72.76,189.38,1,128,BF16
9,4.4797,0.7111,76.1,189.38,1,128,BF16
10,4.5014,0.6565,77.18,189.38,1,128,BF16
