epoch,epoch_time_s,train_loss,test_acc,mem_alloc_mb,num_gpus,batch_size,precision
1,7.0464,2.0471,43.82,189.38,1,128,FP16
2,4.7182,1.4704,52.8,189.38,1,128,FP16
3,4.7387,1.2779,57.61,189.38,1,128,FP16
4,4.7139,1.1238,62.53,189.38,1,128,FP16
5,4.7105,0.9893,63.67,189.38,1,128,FP16
6,4.7094,0.8965,71.21,189.38,1,128,FP16
7,4.7055,0.8021,70.21,189.38,1,128,FP16
8,4.7328,0.7157,75.79,189.38,1,128,FP16
9,4.7054,0.6423,77.38,189.38,1,128,FP16
10,4.7405,0.5879,78.93,189.38,1,128,FP16
