epoch,epoch_time_s,train_loss,test_loss,test_acc,mem_alloc_mb,mem_reserved_mb,num_gpus,batch_size
1,3.4707,2.2671,1.7245,33.28,188.94,274.0,2,128
2,3.129,1.6148,1.4347,47.59,188.94,274.0,2,128
3,3.3181,1.3991,1.3938,51.45,188.94,274.0,2,128
4,3.2051,1.2035,1.2387,58.84,188.94,274.0,2,128
5,3.2438,1.0673,1.126,61.52,188.94,274.0,2,128
6,3.368,0.9646,0.8965,68.34,188.94,274.0,2,128
7,3.1374,0.8801,0.8187,71.41,188.94,274.0,2,128
8,3.108,0.8019,0.8017,71.59,188.94,274.0,2,128
9,2.9672,0.7464,0.7499,74.23,188.94,274.0,2,128
10,3.1187,0.7085,0.723,75.07,188.94,274.0,2,128
