epoch,epoch_time_s,train_loss,test_loss,test_acc,mem_alloc_mb,mem_reserved_mb,num_gpus,batch_size
1,6.1038,2.1652,1.543,42.17,189.16,270.0,1,128
2,4.1486,1.5044,1.3371,50.65,189.16,270.0,1,128
3,4.1686,1.2949,1.2031,57.35,189.16,270.0,1,128
4,4.1653,1.1436,1.137,60.11,189.16,270.0,1,128
5,4.1451,1.0224,1.0197,63.35,189.16,270.0,1,128
6,4.1444,0.9264,0.8709,69.57,189.16,270.0,1,128
7,4.1476,0.8335,0.8219,71.05,189.16,270.0,1,128
8,4.1477,0.7466,0.7621,73.3,189.16,270.0,1,128
9,4.1563,0.6722,0.674,76.88,189.16,270.0,1,128
10,4.1608,0.6185,0.6368,77.99,189.16,270.0,1,128
