epoch,epoch_time_s,train_loss,test_loss,test_acc,mem_alloc_mb,mem_reserved_mb,num_gpus,batch_size
1,4.2717,2.1616,1.5831,42.26,189.53,270.0,2,128
2,3.1342,1.5354,1.3376,50.76,189.53,270.0,2,128
3,3.1093,1.3465,1.2159,56.38,189.53,270.0,2,128
4,3.1328,1.1692,1.1246,60.12,189.53,270.0,2,128
5,3.182,1.0401,0.9861,64.67,189.53,270.0,2,128
6,3.1339,0.946,0.9031,68.63,189.53,270.0,2,128
7,3.147,0.8533,0.8675,69.54,189.53,270.0,2,128
8,3.1219,0.7822,0.7908,72.41,189.53,270.0,2,128
9,3.1198,0.7224,0.7248,74.64,189.53,270.0,2,128
10,3.1464,0.687,0.6912,75.8,189.53,270.0,2,128
