epoch,epoch_time_s,train_loss,test_loss,test_acc,mem_alloc_mb,mem_reserved_mb,num_gpus,batch_size
1,5.3297,2.1211,1.628,38.55,189.16,270.0,1,128
2,4.1138,1.5222,1.3767,50.47,189.16,270.0,1,128
3,4.1149,1.3035,1.1371,59.29,189.16,270.0,1,128
4,4.1256,1.1362,1.0958,60.95,189.16,270.0,1,128
5,4.1314,1.0106,0.9839,65.11,189.16,270.0,1,128
6,4.1278,0.9138,0.8611,70.09,189.16,270.0,1,128
7,4.1433,0.8253,0.7813,72.88,189.16,270.0,1,128
8,4.1149,0.7352,0.7798,72.75,189.16,270.0,1,128
9,4.1296,0.656,0.6518,77.62,189.16,270.0,1,128
10,4.1188,0.6049,0.6183,78.88,189.16,270.0,1,128
